title,location,price,negotiable,age
Land for sale,"Wyndham Area,Tarneit, ","$260,000",,02/02/2020
Land for sale,"Hume Area,Mickleham, ","$298,000",,02/02/2020
"Looking for small block in Highlands, Craigieburn","Melbourne City,Melbourne CBD, ",Negotiable,,02/02/2020
Titled land in Orchid Green estate-melton south,"Melton Area,Melton South, ","$230,000",,02/02/2020
Land for sale at Riverwalk Werribee,"Wyndham Area,Werribee, ","$336,000",Negotiable,01/02/2020
Land for sale,"Whittlesea Area,Wollert, ","$325,000",Negotiable,01/02/2020
LAND FOR SALE,"Wyndham Area,Wyndham Vale, ","$269,000",,01/02/2020
LAND FOR SALE BY NOMINATION . SETTLEMENT IN MARCH 2020,"Wyndham Area,Tarneit, ","$350,000",,01/02/2020
Land for sale,"Casey Area,Cranbourne, ",Negotiable,,31/01/2020
LAND FOR SALE GEM ESTATE 3024 WYNDHAM VALE 448SM,"Wyndham Area,Werribee, ","$335,000",,31/01/2020
LAND FOR NOMINATION - CONTRACT PRICE - GREAT LOCATION,"Wyndham Area,Werribee, ","$313,000",,31/01/2020
Cheap block. Near park. Ready to build,"Melbourne Region,Casey Area, ","$265,000",,30/01/2020
Land For Sale - Sienna Rise - Fraser Rise (Plumpton),"Melton Area,Melton, ","$260,000",,30/01/2020
Tarniet block for sale - The Grove Estate,"Melbourne City,Docklands, ","$316,000",,30/01/2020
WANTED: Im looking to buy min 450m2 land in Wollert / Epping,"Whittlesea Area,Wollert, ","$350,000",Negotiable,30/01/2020
Land for sale,"Melton Area,Caroline Springs, ","$415,000",,30/01/2020
Land For Sale Greenvale,"Hume Area,Greenvale, ","$338,000",Negotiable,29/01/2020
Land for Sale in Tarneit - The Grove Estate,"Wyndham Area,Tarneit, ",$0,Negotiable,29/01/2020
263m2 Vacant Land For Sale in Thornhill Park,"Melbourne City,Melbourne CBD, ","$205,000",,29/01/2020
